Category,Question,Answer,Rounds,Points,DailyDouble
"21st CENTURY MUSIC","The nickname of this woman from the Black Eyed Peas is just a shortening of her last name",Fergie,1,1,0
"21st CENTURY MUSIC","The stage name of this R&B singer born Shaffer Smith is a play on the name of a character in ""The Matrix""",Ne-Yo,1,2,0
"21st CENTURY MUSIC","""Ordinary People"" singer John Stephens took on this last name, the stuff that myths are made of",Legend,1,3,0
"21st CENTURY MUSIC","""Icky Thump"" was a No. 1 modern rock hit for this duo",the White Stripes,1,4,0
"21st CENTURY MUSIC","Brothers Chad & Mike Kroeger make up half of this rock band",Nickelback,1,5,0
"BABY NAMES A LA SHAKESPEARE","Knowing it's from the Greek for ""serpent"" might turn you off this name of a doomed lass in ""Hamlet""",Ophelia,1,1,0
"BABY NAMES A LA SHAKESPEARE","Name a girl this after the ""Merchant of Venice"" heroine & she'll probably grow up to like fast sports cars",Portia,1,2,0
"BABY NAMES A LA SHAKESPEARE","If you give your son this villainous 4-letter name from ""Othello"", you're just asking for trouble",Iago,1,3,0
"BABY NAMES A LA SHAKESPEARE","I'd think twice about naming your daughter this; she might turn into a shrew like in the play",Katherine,1,4,0
"BABY NAMES A LA SHAKESPEARE","For an eighth child, preferably a daughter, this name from ""Antony and Cleopatra"" would be fitting",Octavia,1,5,0
"COME, HO CHI MINH","Ho Chi Minh is buried in this capital city",Hanoi,1,1,0
"COME, HO CHI MINH","Ho Chi Minh helped start Vietnam's Communist Party & in the 1920s helped start this Eur. country's Communist Party",France,1,2,0
"COME, HO CHI MINH","The trail bearing Ho's name was a series of Viet Cong supply routes mostly through this neighboring nation",Laos,1,3,0
"COME, HO CHI MINH","Ho Chi Minh was also known by the nickname Bac Ho, meaning this relative",uncle,1,4,0
"COME, HO CHI MINH","Ho Chi Minh's real family name wasn't Ho, it was this, like many other Vietnamese",Nguyen,1,5,0
"IT BORDERS JUST ONE OTHER COUNTRY","Canada",the United States,1,1,0
"IT BORDERS JUST ONE OTHER COUNTRY","South Korea",North Korea,1,2,0
"IT BORDERS JUST ONE OTHER COUNTRY","Denmark",Germany,1,3,1
