Category,Question,Answer,Rounds,Points,DailyDouble
ELEMENTARY,"The Bible tells us of this element being beaten into plates, cut into wires & worked into the clothing worn by Aaron",gold,1,1,0
ELEMENTARY,"The Kennedy Space Center uses this gas, atomic No. 54 & no warrior princess, in high-intensity lights for night landings",xenon,1,2,0
ELEMENTARY,"Pu!  But this element-238 doesn't stink--it powers pacemakers",plutonium,1,3,0
ELEMENTARY,"""I"" know Bernard Courtois discovered this element in 1811",iodine,1,4,0
ELEMENTARY,"This ductile, nonradioactive element has an atomic weight of 26.98",aluminum,1,5,0
MY DEAR WATSON,"On Jan. 25, 1915 the first transcontinental phone call was made by this man in NYC to Thomas Watson in S.F.",(Alexander Graham) Bell,1,1,0
MY DEAR WATSON,"Diane Watson represents this state's 33rd district in the U.S. House of Representatives",California,1,2,0
MY DEAR WATSON,"Now playing on golf's senior tour, he's won 5 British Opens & 2 Masters tournaments",Tom Watson,1,3,0
MY DEAR WATSON,"English astronomer Frank Watson Dyson was director of this observatory from 1910 to 1933",the Royal Observatory in Greenwich,1,4,0
MY DEAR WATSON,"English scholar Thomas Watson is best known today for his 1581 translation of ""Antigone"" by this Ancient Greek",Sophocles,1,5,0
SHERLOCK HOLMES,"He first played Sherlock Holmes on film in 1939",(Basil) Rathbone,1,1,0
SHERLOCK HOLMES,"This star of ""Lawrence of Arabia"" voiced Sherlock Holmes for a series of cartoons in the 1980s",(Peter) O'Toole,1,2,0
SHERLOCK HOLMES,"This one-time Willy Wonka took on the title role in 1975's ""The Adventures of Sherlock Holmes' Smarter Brother""",Gene Wilder,1,3,0
SHERLOCK HOLMES,"In a 1976 TV movie this ""Spy Who Loved Me"" actor played ""Sherlock Holmes in New York""",Roger Moore,1,4,0
SHERLOCK HOLMES,"Before ""Rain Man"", he directed ""Young Sherlock Holmes"", in which Holmes & Watson meet as boys at boarding school",Barry Levinson,1,5,0
SIR ARTHUR CONAN DOYLE,"Sir Arthur Conan Doyle was born on May 22, 1859 in this Scottish city",Edinburgh,1,1,0
SIR ARTHUR CONAN DOYLE,"Before he was a writer, Conan Doyle worked in this profession, like Watson",medicine,1,2,1
SIR ARTHUR CONAN DOYLE,"Conan Doyle wrote a tribute in 1915 on the death of W.G. Grace, a superstar in this sport",cricket,1,3,0
SIR ARTHUR CONAN DOYLE,"Sir Arthur was a spiritualist, but he faced opposition from this man who wrote ""A Magician Among the Spirits""",Harry Houdini,1,4,0
SIR ARTHUR CONAN DOYLE,"Conan Doyle was partly influenced by his Dupin stories",Edgar Allan Poe,1,5,0
THE "RED" HEADED LEAGUE,"The transmission of genetic traits from parents to offspring",heredity,1,1,0
THE "RED" HEADED LEAGUE,"Roman ""C""",hundred,1,2,0
THE "RED" HEADED LEAGUE,"Debit's opposite",credit,1,3,0
THE "RED" HEADED LEAGUE,"Extreme hostility or aversion toward something or someone",hatred,1,4,0
THE "RED" HEADED LEAGUE,"Radiation at wavelengths longer than visible light & shorter than microwaves",infrared,1,5,0
THE SIGN OF THE FOUR,"At the end of World War I, the nations designated the ""Big Four"" were the U.S., Italy, France & this one",Great Britain,1,1,0
THE SIGN OF THE FOUR,"It's the hyphenated 4-dimensional continuum within which physical events can be located",the space-time continuum,1,2,0
THE SIGN OF THE FOUR,"The 4 Horsemen of the Apocalypse in the Bible are War, Pestilence, Famine & this",Death,1,3,0
THE SIGN OF THE FOUR,"It's the fourth letter of the Greek alphabet",delta,1,4,0
THE SIGN OF THE FOUR,"As its name suggests, it's a square dance for 4 couples",a quadrille,1,5,0
19th CENTURY NAMES,"""The Inquest of the Final Victim Mary Kelly"" is the subtitle of a book about this late 19th century Londoner",Jack the Ripper,2,1,0
19th CENTURY NAMES,"Ballet music was thought an inferior genre when he was commissioned to write the music for ""Swan Lake""",Tchaikovsky,2,2,0
19th CENTURY NAMES,"As his health grew worse from TB, he left his dentistry practice in Atlanta & moved out West",Doc Holliday,2,3,0
19th CENTURY NAMES,"In July 1866 he became the U.S. Navy's first full admiral",(Admiral David) Farragut,2,4,0
19th CENTURY NAMES,"By the time her ""Middlemarch"" was published, she was generally recognized as the greatest living English novelist",(George) Eliot,2,5,0
BOOKS OF THE BIBLE,"The third & the longest of the four Gospels is the Gospel according to him",Luke,2,1,0
BOOKS OF THE BIBLE,"""Every son that is born ye shall cast into the river"" comes from this Old Testament book",Exodus,2,2,0
BOOKS OF THE BIBLE,"Immediately following Acts is Paul's Epistle to these people",the Romans,2,3,0
BOOKS OF THE BIBLE,"Ob-la-di ob-la-da, it's the shortest book of the Old Testament",Obadiah,2,4,0
BOOKS OF THE BIBLE,"A victory ode, ""The Song of Deborah"" is found in this book",Judges,2,5,0
HERE'S A MELANGE POUR VOUS,"George Soper, a NYC sanitation engineer, helped get her committed to an isolation center from 1907 to 1910",Typhoid Mary,2,1,0
HERE'S A MELANGE POUR VOUS,"A much-derided 1986 Newsweek story said for a 40-year-old single woman, death by a terrorist was likelier than this",marriage,2,2,0
HERE'S A MELANGE POUR VOUS,"4-syllable singsong word meaning to waste time, especially by indecision; hello...",dilly-dally,2,3,0
HERE'S A MELANGE POUR VOUS,"In March 2001 this notorious Afghan group dynamited ancient giant statues of Buddha in Bamiyan",the Taliban,2,4,0
HERE'S A MELANGE POUR VOUS,"Talos was a man of bronze that this god of metalworking made for Minos",Hephaestus,2,5,0
IRISH SONGS,"""Too-ra-loo-ra-loo-ral, too-ra-loo-ra-li, too-ra-loo-ra-loo-ral, that's"" one of these",an Irish lullaby,2,1,0
IRISH SONGS,"This title is followed by the line ""Sure, it's like the morn in spring""","When Irish Eyes Are Smiling",2,2,0
IRISH SONGS,"U2 sang, ""She said that I must leave her, an icy tear she froze, how could I melt the heart of a wild"" this",Irish rose,2,3,0
IRISH SONGS,"""Here's to James Connolly who gave one hurrah, and placed the machine guns for"" this 3-word Irish battle cry",Erin Go Bragh,2,4,0
IRISH SONGS,"""Danny Boy"" is based on this traditional Irish tune popular in the 1850s",the Londonderry Air,2,5,0
THE COURAGE TO "B","A submarine's home port, or the place where a runner is safe during a game",base,2,1,0
THE COURAGE TO "B","An adult human is supported by 206 of them",bones,2,2,0
THE COURAGE TO "B","This organization was based in part on 2 American groups, the Sons of Daniel Boone & the Woodcraft Indians",the Boy Scouts,2,3,0
THE COURAGE TO "B","One of the terms of the treaty that ended this war was 3 million pounds to rebuild the Transvaal",the Boer War,2,4,1
THE COURAGE TO "B","This Asian capital city's Grand Palace houses the Emerald Buddha, which sits on a gilded wood throne",Bangkok,2,5,0
THE NEXT NATION IN ALPHABETICAL ORDER,"Next after Turkey",Turkmenistan,2,1,0
THE NEXT NATION IN ALPHABETICAL ORDER,"Next after Albania",Algeria,2,2,0
THE NEXT NATION IN ALPHABETICAL ORDER,"Next after Chile",China,2,3,1
THE NEXT NATION IN ALPHABETICAL ORDER,"Next after Honduras",Hungary,2,4,0
THE NEXT NATION IN ALPHABETICAL ORDER,"Next after Russia",Rwanda,2,5,0
BOOK TITLE REFERENCES,"It ""had been built... for pigs about to be butchered.  Now it was going to serve as a home... for 100 American P.O.W.s""",Slaughterhouse 5,3,0,0
