Category,Question,Answer,Rounds,Points,DailyDouble
"BIOLO""G""","Yours is Homo","genus",1,1,0
"BIOLO""G""","For their hue, the class Chrysophyceae are called these algae","golden",1,2,0
"BIOLO""G""","A major danger in transplant operations is called a this-versus-host reaction","graft",1,3,0
"BIOLO""G""","Complex reproductive systems contain these organs that produce gametes","gonads",1,4,0
"BIOLO""G""","This ""theory"" of tiny menaces causing disease was accepted in the 19th century; before that, no need for masks in the operating room","germ theory",1,5,0
"MAKIN' STUFF","This shoe company makes the Zoom Lebron IV & Air Max 360 BBall","Nike",1,1,0
"MAKIN' STUFF","Before we go to the dog track, let's make this potent potable with 2 oz. of vodka & 5 oz. of grapefruit juice","a greyhound",1,2,0
"MAKIN' STUFF","This company that makes Listerine & Sudafed was actually started by 3 brothers, not just 2","Johnson & Johnson",1,3,0
"MAKIN' STUFF","Printer's ink & a milk substitute were among the products this Tuskegee researcher made from peanuts","(George Washington) Carver",1,4,0
"MAKIN' STUFF","This religious group founded by Ann Lee used time not spent on fleshly pursuits to make elegantly simple furniture","the Shakers",1,5,0
"SINGLE DADS ON THE TUBE","On this CW show, John Glover as single dad Lionel tried to push son Lex to the dark side","Smallville",1,1,0
"SINGLE DADS ON THE TUBE","Of the 3 male leads on ""Full House"", not only does he fit the category, but he's also the tallest","Bob Saget",1,2,0
"SINGLE DADS ON THE TUBE","Dr. Westphall, the chief of staff at this hospital, had 2 kids, Lizzie & Tommie, or did he...","St. Elsewhere",1,3,0
"SINGLE DADS ON THE TUBE","We'll give you a ""mulligan"" for this show about a widowed Miami pediatrician, dad to Kristy McNichol & Dinah Manoff","Empty Nest",1,4,0
"SINGLE DADS ON THE TUBE","At 11:59 P.M. of the last episode of season one, this character's wife, Teri, is found dead, shot by Nina Myers","Jack Bauer",1,5,0
"STATES' HIGHEST POINTS","Jerimoth Hill in Providence County","Rhode Island",1,1,0
"STATES' HIGHEST POINTS","Mount Arvon on the Upper Peninsula","Michigan",1,2,0
"STATES' HIGHEST POINTS","Boundary Peak, about 50 miles east of Yosemite National Park","Nevada",1,3,1
"STATES' HIGHEST POINTS","Eagle Mountain, about 15 miles north of Lake Superior","Minnesota",1,4,0
"STATES' HIGHEST POINTS","Taum Sauk Mountain, convenient to the Ozark Trail","Missouri",1,5,0
"THE SHORT FORM","They're the ""cal"" in lo-cal salad dressing","calories",1,1,0
"THE SHORT FORM","On ""Flip This House"", when Armando says it's time to get the demo started, ""demo"" is short for this","demolition",1,2,0
"THE SHORT FORM","""Rents"" is short for these sources of love, aggravation & money","parents",1,3,0
"THE SHORT FORM","""Ren"" is short for this in the name of the Rens, a black basketball team of 1920s Harlem","Renaissance",1,4,0
